symbol,sector,name,as_of_date,t_price,cum_ret_4w,cum_ret_13w,cum_ret_26w,point,di,cum_ret_4w_rank_in_sector,cum_ret_13w_rank_in_sector,cum_ret_26w_rank_in_sector,cms_a,surprise_l1,surprise_l2,pre_earnings_14d,above_50ma,ma50,amp_10d_pct,vp_ratio_stock,vcp,high_52w,pct_from_high,ret_5d,ret_20d,up_days_20,down_days_20,up_avg_vol,down_avg_vol,ud_ratio,vol_today,vol_10d_avg,vol_3w_avg,vol_ratio_stock_20d,vp_score_stock,point_rank_in_sector,vp_score_rank_in_sector,vol_rank_in_sector,composite_in_sector,composite_rank_in_sector,stock_gap_alert
FOXA,Communication Services,Fox Corporation (Class A),2026-08-10,69.04,19.82,6.46,23.12,18.13,1.0,1,7,5,3.6,29.29,36.35,False,True,58.08,13.64,1.076,False,76.02,-13.9,5.92,19.28,12.0,8.0,4854816.0,4510137.0,1.5,3734000.0,5238170.0,4637180.0,0.805,100.0,3,1,7,3.0,2,
FOX,Communication Services,Fox Corporation (Class B),2026-08-10,61.41,18.94,6.12,19.74,16.14,1.0,2,10,6,5.2,31.62,22.22,False,True,52.26,12.59,0.895,False,67.81,-14.32,4.93,15.69,13.0,7.0,1150930.0,1285628.0,1.857,618800.0,1064400.0,1145306.0,0.54,100.0,5,1,17,5.8,5,
CHTR,Communication Services,Charter Communications,2026-08-10,154.27,17.43,9.93,-35.48,-10.9,0.667,3,5,22,7.4,5.94,-9.07,False,True,138.23,14.46,0.698,False,285.82,-45.23,-0.58,19.15,12.0,8.0,2520625.0,3609775.0,1.5,1387600.0,2128630.0,3288153.0,0.422,95.98,20,8,18,14.8,18,剛爆發
EXPE,Consumer Discretionary,Expedia Group,2026-08-10,332.69,23.78,53.12,57.11,47.78,1.0,3,2,1,2.3,9.65,42.34,False,True,264.52,14.11,0.96,False,331.31,-0.91,7.09,23.6,15.0,5.0,1631326.0,1699720.0,3.0,832500.0,1832300.0,1732206.0,0.481,100.0,1,1,25,5.8,4,
ABNB,Consumer Discretionary,Airbnb,2026-08-10,184.06,26.09,38.55,51.68,42.0,1.0,1,5,2,2.4,9.48,-14.13,False,True,147.41,23.05,1.821,False,187.12,-1.06,22.09,25.26,8.0,12.0,6913025.0,3795958.0,0.667,5137100.0,6481140.0,5591973.0,0.919,100.0,2,1,4,2.0,1,
GRMN,Consumer Discretionary,Garmin,2026-08-10,310.2,24.3,38.02,45.65,38.4,1.0,2,6,3,3.4,22.52,13.14,False,True,254.16,9.22,1.126,False,314.28,-0.75,3.33,28.04,12.0,8.0,1128475.0,1002425.0,1.5,535500.0,855670.0,1080473.0,0.496,100.0,3,1,24,6.4,6,
TGT,Consumer Staples,Target Corporation,2026-08-10,154.48,11.51,28.08,35.74,27.77,1.0,1,2,1,1.3,17.31,12.97,True,True,135.53,11.06,1.164,False,156.47,-0.61,6.54,16.94,12.0,8.0,4020675.0,3454450.0,1.5,3648000.0,3860680.0,3638606.0,1.003,100.0,1,1,4,1.6,1,
SJM,Consumer Staples,J.M. Smucker Company (The),2026-08-10,121.39,8.37,20.74,11.04,12.8,1.0,4,6,5,4.8,5.01,5.18,True,True,113.41,7.58,1.139,False,127.65,-5.5,1.54,9.14,13.0,7.0,1306407.0,1146642.0,1.857,932600.0,1016830.0,1205046.0,0.774,100.0,4,1,14,4.8,3,
KO,Consumer Staples,Coca-Cola Company (The),2026-08-10,87.71,7.54,9.23,12.97,10.68,1.0,5,14,4,7.5,4.05,5.88,False,True,83.11,3.82,0.903,False,90.92,-3.85,0.66,2.94,11.0,9.0,16247709.0,17995733.0,1.222,10133000.0,14818120.0,16960660.0,0.597,86.16,5,16,24,13.2,11,吃老本
MPC,Energy,Marathon Petroleum,2026-08-10,355.42,13.7,39.9,76.41,51.6,1.0,4,1,1,2.5,27.08,120.63,False,True,286.01,20.94,1.03,False,357.2,-0.23,19.09,16.52,13.0,7.0,2339923.0,2271171.0,1.857,2232100.0,2580810.0,2371973.0,0.941,100.0,1,1,4,1.6,1,
