chain,chain_state,upstream_count,upstream_confirmed,upstream_confirmed_pct,upstream_total_weight,upstream_confirmed_weight,upstream_coherence_pct,upstream_states
PCB / HDI / IC Substrate,🚀 Confirmed,1,1,100.0,1.0,1.0,100.0,"{""CCL / High-Speed Materials"": ""🚀 Confirmed""}"
AI Server / ODM,⚠️ Price Leading,9,6,66.7,8.6,6.0,69.8,"{""AI / HPC Semiconductor"": ""🚀 Confirmed"", ""Memory / HBM"": ""💰 Capital Leading"", ""Advanced Packaging"": ""💰 Capital Leading"", ""PCB / HDI / IC Substrate"": ""🚀 Confirmed"", ""CCL / High-Speed Materials"": ""🚀 Confirmed"", ""Thermal / Liquid Cooling"": ""🚀 Confirmed"", ""Data Center Power / PSU"": ""❄️ Weak"", ""Optical Communication / AI Networking"": ""❄️ Weak"", ""Passive Components"": ""⚠️ Price Leading""}"
Robotics / Automation,❄️ Weak,2,1,50.0,1.2,0.7,58.3,"{""AI / HPC Semiconductor"": ""🚀 Confirmed"", ""Semiconductor Equipment & Materials"": ""❄️ Weak""}"
Memory / HBM,💰 Capital Leading,2,1,50.0,1.8,0.8,44.4,"{""Semiconductor Equipment & Materials"": ""❄️ Weak"", ""Advanced Packaging"": ""💰 Capital Leading""}"
AI / HPC Semiconductor,🚀 Confirmed,2,1,50.0,1.8,0.8,44.4,"{""Semiconductor Equipment & Materials"": ""❄️ Weak"", ""Advanced Packaging"": ""💰 Capital Leading""}"
Advanced Packaging,💰 Capital Leading,2,1,50.0,1.7,0.7,41.2,"{""Semiconductor Equipment & Materials"": ""❄️ Weak"", ""PCB / HDI / IC Substrate"": ""🚀 Confirmed""}"
EV / Auto Electronics,❄️ Weak,3,1,33.3,2.2,0.6,27.3,"{""Energy Storage / Battery"": ""❄️ Weak"", ""AI / HPC Semiconductor"": ""🚀 Confirmed"", ""Passive Components"": ""⚠️ Price Leading""}"
Display & Optical,⚠️ Price Leading,1,0,0.0,0.6,0.0,0.0,"{""Semiconductor Equipment & Materials"": ""❄️ Weak""}"
Data Center Power / PSU,❄️ Weak,1,0,0.0,0.7,0.0,0.0,"{""Passive Components"": ""⚠️ Price Leading""}"
Cloud / Data Center / Cybersecurity,❄️ Weak,2,0,0.0,1.8,0.0,0.0,"{""AI Server / ODM"": ""⚠️ Price Leading"", ""Optical Communication / AI Networking"": ""❄️ Weak""}"
Smart Grid / Transformer,❄️ Weak,2,0,0.0,1.1,0.0,0.0,"{""Passive Components"": ""⚠️ Price Leading"", ""Steel"": ""❄️ Weak""}"
